Transportadora;Email;Cidade;UF
MOTIVA;comercial@motivatransportes.com.br;RIO-DE-JANEIRO;RJ
MVS -Transportes;mvstransportes@hotmail.com;RIO-DE-JANEIRO;RJ
NACIONAL Cargas;comercial@nacionalcargas.com;RIO-DE-JANEIRO;RJ
NEXTLOG;comercial@nextlogsp.com.br;RIO-DE-JANEIRO;RJ
NLT Transportes;nlt@nlttransportes.com;RIO-DE-JANEIRO;RJ
NOVA BRASÍLIA;comercial@tnb.com.br;RIO-DE-JANEIRO;RJ
NR Express;comercial@nrexpress.com.br;RIO-DE-JANEIRO;RJ
OSTEL;ostel@ostel.com.br;RIO-DE-JANEIRO;RJ
OVERLOG;comercial2@overlog.com.br;RIO-DE-JANEIRO;RJ
PANTANAL;va_pantanalsp@hotmail.com;RIO-DE-JANEIRO;RJ
PAPALÉGUAS;sac@papaleguasencomendas.com.br;RIO-DE-JANEIRO;RJ
PERFECT SP;comercial1@perfectsp.com.br;RIO-DE-JANEIRO;RJ
PERNAMBUCO;atendimento@pernambucotransportes.com.br;RIO-DE-JANEIRO;RJ
PETROCARGAS;cotacaosp@petrocargas.com.br;RIO-DE-JANEIRO;RJ
PETROLINA Expresso;comercial@expressopetrolina.com;RIO-DE-JANEIRO;RJ
PEXLOG;comercial.sp@pexlog.com.br;RIO-DE-JANEIRO;RJ
POTENCIAL Cargas;comercial@potencialcargas.com.br;RIO-DE-JANEIRO;RJ
PRESSÁGIO;cotacao@expressopressagio.com.br;RIO-DE-JANEIRO;RJ
PRIMORDIAL Cargas;comercial@primordialcargas.com.br;RIO-DE-JANEIRO;RJ
PROGRESSO;cotacao@progressotransportes.com.br;RIO-DE-JANEIRO;RJ
QUALY TRANS;marcos@qualytrans.net;RIO-DE-JANEIRO;RJ
R&J Transportes;cotacao@rjtransportes.com.br;RIO-DE-JANEIRO;RJ
R&M Transportes;comercial@rmlogisticasp.com.br;RIO-DE-JANEIRO;RJ
RBL Transportes;comercialsp@rbltransportes.com.br;RIO-DE-JANEIRO;RJ
RD Expresslog;comercial3@rdexpresslog.com.br;RIO-DE-JANEIRO;RJ
REDELOG;operacional.sp@redelog.com.br;RIO-DE-JANEIRO;RJ
REFERENCIAL;referencial@referencialtransportes.com.br;RIO-DE-JANEIRO;RJ
RFC Transportes;comercial@transportesrfc.com.br;RIO-DE-JANEIRO;RJ
RG OSASCO;vendasrggo@rgtransportes.com.br;RIO-DE-JANEIRO;RJ
RG Soluções Logísticas;comercialrgsolucoes@rgtransportes.com.br;RIO-DE-JANEIRO;RJ
RHADASSA LOG;comercial@rhadassalog.com.br;RIO-DE-JANEIRO;RJ
RISPA;contato@rispatransportes.com.br;RIO-DE-JANEIRO;RJ
RLV LOG Express;cotacao@rlvlog.com.br;RIO-DE-JANEIRO;RJ
ROCHA ;comercial2@rochatransporte.com.br;RIO-DE-JANEIRO;RJ
RODOCERTO;assistente.comercial@rodocerto.com.br;RIO-DE-JANEIRO;RJ
RODOJUNIOR;rodojunior@pocos-net.com.br;RIO-DE-JANEIRO;RJ
RODONORTE;rodonorte.spo@gmail.com;RIO-DE-JANEIRO;RJ
RODOVIA SUL;comercialsro@rodoviasul.com.br;RIO-DE-JANEIRO;RJ
RODOVITOR;cotacao.sp@rodovitortransportes.com.br;RIO-DE-JANEIRO;RJ
RODUART;atendimento@roduart.com.br;RIO-DE-JANEIRO;RJ
ROMERA;l.expressoromera@ig.com.br;RIO-DE-JANEIRO;RJ
RONALDO Transportes;ronaldotransportes027@gmail.com;RIO-DE-JANEIRO;RJ
RORAIMA Logística;cotacoes@roraimalog.com.br;RIO-DE-JANEIRO;RJ
ROTA BAHIA;rotabahialogistica01@gmail.com;RIO-DE-JANEIRO;RJ
RP Transportes;joaovitor@rptransporte.com.br;RIO-DE-JANEIRO;RJ
RR Cargo;alex.mendes@rrcargo.com.br;RIO-DE-JANEIRO;RJ
RÁPIDOBR;roberto@rapidobr.com.br;RIO-DE-JANEIRO;RJ
SANTA LUZIA;atendimento@expressosantaluzia.com.br;RIO-DE-JANEIRO;RJ
SARON;cotacao@rapidosaron.com.br;RIO-DE-JANEIRO;RJ
SCARPATO;scarpatope@uol.com.br;RIO-DE-JANEIRO;RJ
SEGMA;comercial@segmatransporte.com.br;RIO-DE-JANEIRO;RJ
SJLOG Transportes;comercial@sjlogtransportes.com.br;RIO-DE-JANEIRO;RJ
SM -Sua Majestade;cotacao@suamajestade.com.br;RIO-DE-JANEIRO;RJ
SNV Cargas;snvcargas@outlook.com;RIO-DE-JANEIRO;RJ
SOLIDEZ;telma@solideztrans.com.br;RIO-DE-JANEIRO;RJ
SONIC;sacsp@sonictransportes.com.br;RIO-DE-JANEIRO;RJ
SONS Transportes;dayse.comercial@sonstransportes.com;RIO-DE-JANEIRO;RJ
SPEED Multimodal;comercial.gru@speedmultimodal.com.br;RIO-DE-JANEIRO;RJ
SPEEDY BRASIL;contato@speedybrasil.com;RIO-DE-JANEIRO;RJ
SPMax;comercial@spmaxtransportes.com.br;RIO-DE-JANEIRO;RJ
STREET;comercial@streettransportes.com.br;RIO-DE-JANEIRO;RJ
SUED Logística;comercial@suedlogistica.com;RIO-DE-JANEIRO;RJ
SUPERAÇÃO Transporte;comercialmatriz@superacaotransporte.com.br;RIO-DE-JANEIRO;RJ
SUZARTE;contatosp@suzartetransportes.com.br;RIO-DE-JANEIRO;RJ
TADEX;tadex@tadex.com.br;RIO-DE-JANEIRO;RJ
TAMBAÚ;comercial@rapidotambau.com.br;RIO-DE-JANEIRO;RJ
TB CARGO;brunno@tbcargo.com.br;RIO-DE-JANEIRO;RJ
TCM Express;gerencia.sp@expresstcm.com.br;RIO-DE-JANEIRO;RJ
TEIMALOG;comercial@teimalog.com.br;RIO-DE-JANEIRO;RJ
TESLLA;transportes@tesllalogistica.com;RIO-DE-JANEIRO;RJ
TFE ;contato@tfetransportes.com.br;RIO-DE-JANEIRO;RJ
TRAGA-Garcia São Carlos;cotacao@traga.com.br;RIO-DE-JANEIRO;RJ
TRANS DNL;comercial@transdnl.com.br;RIO-DE-JANEIRO;RJ
TRANS IMPÉRIO Rodoaéreo;cotacao@transimperio.com;RIO-DE-JANEIRO;RJ
TRANSARIMATÉIA;transarimateiabauru@uol.com.br;RIO-DE-JANEIRO;RJ
TRANSCARGA São Carlos;ttsp@terra.com.br;RIO-DE-JANEIRO;RJ
TRANSCHICÃO;coleta@transchicao.com.br;RIO-DE-JANEIRO;RJ
TRANSCORTEZ;gerenciacomercial@transcortez.com;RIO-DE-JANEIRO;RJ
TRANSDEL LOG;fabricio.comercial@transdel.net;RIO-DE-JANEIRO;RJ
TRANSFACE;comercial.sp02@transface.com.br;RIO-DE-JANEIRO;RJ
TRANSHIZZA;emerson@transhizza.com.br;RIO-DE-JANEIRO;RJ
TRANSITA;transita@transita.com.br;RIO-DE-JANEIRO;RJ
TRANSLOGAALMEIDA;translogoaalmeidasp@gmail.com;RIO-DE-JANEIRO;RJ
TRANSMISAN;compras@transmisan.com.br;RIO-DE-JANEIRO;RJ
TRANSNORTEX;comercial.sp@transnortex.com.br;RIO-DE-JANEIRO;RJ
TRANSOUZA;transouzasp@hotmail.com;RIO-DE-JANEIRO;RJ
TRANSPALOTA;cotacao@transpalota.com.br;RIO-DE-JANEIRO;RJ
TRANSPAULA;comercial@transpaula.com.br;RIO-DE-JANEIRO;RJ
TRANSPAULISTANA SP;transpaulistana.sp@hotmail.com;RIO-DE-JANEIRO;RJ
TRANSPEN Cargas;logistica@transpen.com.br;RIO-DE-JANEIRO;RJ
TRANSR Sorocaba;contato@transrsorocaba.com.br;RIO-DE-JANEIRO;RJ
TRANSTAVARES;comercial@transtavares.com;RIO-DE-JANEIRO;RJ
TRANSVOAR;comercial1@transvoar.com.br;RIO-DE-JANEIRO;RJ
TRANSWELL'S;transwells@transwells.com.br;RIO-DE-JANEIRO;RJ
TRANSZECÃO;coleta@transzecao.com.br;RIO-DE-JANEIRO;RJ
TRAVEL EXPRESS;comercial@travelexpresslog.com.br;RIO-DE-JANEIRO;RJ
TRNLOG Rodoviário Nasa;thais@trnlog.com.br;RIO-DE-JANEIRO;RJ
TRUCKS Transportes;contato@ricardotruck.com.br;RIO-DE-JANEIRO;RJ
TUPILOG;cotacao@tupilog.com.br;RIO-DE-JANEIRO;RJ
UNI BRASIL;adm@unibrasiltransportes.com.br;RIO-DE-JANEIRO;RJ
VELFRANZ LOG;velfranzlog@gmail.com;RIO-DE-JANEIRO;RJ
VIA LOG;cotacao.spo@vialogtransporte.com.br;RIO-DE-JANEIRO;RJ
VIA MUNDO;contato.transvias@viamundotransportes.com.br;RIO-DE-JANEIRO;RJ
VIA SP Transporte;venancioweriton@gmail.com;RIO-DE-JANEIRO;RJ
VISÃO Transportes;visao-express@bol.com.br;RIO-DE-JANEIRO;RJ
VNT;vnt@vnttransportadora.com.br;RIO-DE-JANEIRO;RJ
VOO Transportes;comercialmtz02@vootransportes.com.br;RIO-DE-JANEIRO;RJ
VSJ Express;comercial@vsjexpress.com.br;RIO-DE-JANEIRO;RJ
WELL Rápido Well;cotacao@rapidowell.com.br;RIO-DE-JANEIRO;RJ
WINNER BRASIL;viviane.winner@winnerbrasillog.com.br;RIO-DE-JANEIRO;RJ
WRJ Logística;cotacaosp@wrjlogistica.com.br;RIO-DE-JANEIRO;RJ
X-LOG Transportes;vendas01@x-logtransportes.com.br;RIO-DE-JANEIRO;RJ
1ª AÇÃO Transportes;comercial@transportesacao.com.br;NATAL;RN
3A Logística;comercial@3alt.com.br;NATAL;RN
5 COMETAS;comercial2@5cometas.com.br;NATAL;RN
A&M LOG Transportes;comercial@amlogtransportes.com.br;NATAL;RN
ABEA Transportes;abeatransportes@abeatransportes.com.br;NATAL;RN
ACORRETA;acorreta@acorreta.com.br;NATAL;RN
ADESSO Transporte;cotacao@adessotransporte.com.br;NATAL;RN
ADL Transportes;comercial@adllogistica.online;NATAL;RN
AFINCO;comercial@afincotransportes.com.br;NATAL;RN
AJ CARGO;comercial@ajcargo.com.br;NATAL;RN
AKILOG;comercial.sp@aki.log.br;NATAL;RN
ALEMAR-Log.;alemar_guarulhos@globo.com;NATAL;RN
ALFA CARGAS ;comercial@alfacargas.com.br;NATAL;RN
ALI Transportes;comercial@alitransportes.com.br;NATAL;RN
ALIANÇA Cargas;comercial@1aliancacargas.com.br;NATAL;RN
ALLIAN;comercial@alliantransportes.com.br;NATAL;RN
ALLIEX;alianca@alliexlog.com.br;NATAL;RN
ALPHATRANS;comercial@alphatranstransportadora.com.br;NATAL;RN
ALUV Logística;cotacao@aluvlog.com.br;NATAL;RN
AMAZON;ronaldo.silvino@transamazon.com.br;NATAL;RN
ANDRADES L.L.;cotacao@andradestransportes.com.br;NATAL;RN
ANTARES Cargas;atendimento@antarescargas.com.br;NATAL;RN
ASA NORTE;ronaldo@logisticaasanorte.com.br;NATAL;RN
ASTR Transportes;logistica@astrtransportes.com.br;NATAL;RN
ATUEX;atuex@transatual.com.br;NATAL;RN
AVANTE SP;comercial@avantelogistica.com.br;NATAL;RN
AVIAT;comercial.sao@aviatcargo.com.br;NATAL;RN
AVILOG Logística;comercial1@avilogtransportes.com.br;NATAL;RN
AZ DE PRATA;comercial@azdepratatransportadora.com.br;NATAL;RN
Alternativa Transportadora;fretes@alternativatransportadora.com.br;NATAL;RN
BARONI;comercial02@baronitransportes.com.br;NATAL;RN
BCLOG Express;bclog.beatriz@bclogexpress.com.br;NATAL;RN
BDG Transportes;contato@bdgtransportes.com.br;NATAL;RN
BR LOG;comercial@brlogltda.com.br;NATAL;RN
BRAEX Encomedas;comercialspo@braexencomendas.com.br;NATAL;RN
BRAEX Logística;braex@braexlogistica.com.br;NATAL;RN
BRASIL EXPRESS;cotacoes@brasilexpress.srv.br;NATAL;RN
BRASÍLIA Encomendas;comercialbrasiliaencomendasspo@gmail.com;NATAL;RN
BROS Logística;comercial.spo@broslogistica.com.br;NATAL;RN
BÚSSOLA;cotacao.sp@bussolalogistica.com.br;NATAL;RN
CADORE;saopaulo@cadore.com.br;NATAL;RN
CAMILLO dos SANTOS;sac01@camillodossantos.com.br;NATAL;RN
CAMPINAS Rodoviário ;awa@rodoviariocampinas.com.br;NATAL;RN
CAMPINENSE;atendimento2@campinense.com.br;NATAL;RN
CARRION;reginaldo@carriontransportes.com.br;NATAL;RN
CARVALIMA;comercial.spo@carvalima.com.br;NATAL;RN
CASH LOG;contato@cashlogistica.com.br;NATAL;RN
CASTELO Rápido;cotacao@transportecastelo.com.br;NATAL;RN
CAVALHEIRO LOG;saopaulo@cavalheirolog.com.br;NATAL;RN
CAZAN;comercial@cazantransportes.com.br;NATAL;RN
CFG Express;contato@cfgexpress.com.br;NATAL;RN
CINCO R Transportes;cotacao@5rtransportes.com.br;NATAL;RN
CLARA Transportes;leandro@claralogistica.com.br;NATAL;RN
CM2 Transportes;cotacaosp@cm2.com.br;NATAL;RN
CM2 Transportes;cotacaosp@cm2urgentes.com;NATAL;RN
COMPLETA Transportes;operacional@completatransportes.com.br;NATAL;RN
CONTINENTE Cargas;comercial@continentecargas.com.br;NATAL;RN
CORDIAL Cargas;comercial@cordialcargas.com.br;NATAL;RN
CR LINS;crlins.operacoes@gmail.com;NATAL;RN
D'AGOSTINI;leila@dagostini.com.br;NATAL;RN
DAGO;atendimento.gru@grupodago.com.br;NATAL;RN
DANUBIO AZUL;comercial-sao@danubioazulcargas.com.br;NATAL;RN
DATA;andersonlima@datatransporte.com.br;NATAL;RN
DEFINITIVA Logística;comercial@definitivalog.com.br;NATAL;RN
DGS Logística;comercial@dgslogistica.com.br;NATAL;RN
DHS Express;comercial2@dhsexpress.com.br;NATAL;RN
DIA e NOITE;comercial@transportesdiaenoite.com.br;NATAL;RN
DIMILL Transportes;dimill@dimilltransportes.com.br;NATAL;RN
DJ Transportes;comercial@djtransportes.com;NATAL;RN
DL Transporte & Logística;comercial1@dltransportessp.com.br;NATAL;RN
DL3 LOG;comercial@dl3log.com.br;NATAL;RN
DLK Transportes;comercial@dlktransportes.com.br;NATAL;RN
DMARI;gerenciasp1@dmarilogistica.com.br;NATAL;RN
ED LOG Transportes;comercial@edlogtransportes.com.br;NATAL;RN
ED LOG Transportes;rosana@edlogtransportes.com.br;NATAL;RN
EFITRANS;comercialsp@efitrans.com.br;NATAL;RN
EJS;cotacao@ejstransportes.com.br;NATAL;RN
ENTREGA JÁ;comercial.sp@entregaja.com.br;NATAL;RN
ET-Transportes;coletassp@etlog.com.br;NATAL;RN
EUREKA;comercial.mtz@eurekatransportes.com.br;NATAL;RN
EXPIDEX;comercial2@expidex.com.br;NATAL;RN
Ebtrans Expresso Brasileiro;cotacao.spo@ebtrans.com.br;NATAL;RN
FALCÃO Transportes;cotacao.falcaotransportes@gmail.com;NATAL;RN
FASTLOG ;comercial@fastlogex.com.br;NATAL;RN
FAVORITA;umberto@favorita.com.br;NATAL;RN
FIEZA Cargas;comercial@fiezacargas.com.br;NATAL;RN
FIGUEIREDO Rápido;comercial02.spo@rapidofigueiredo.com.br;NATAL;RN
FRANCA EXPRESS;francaexpress@francaexpress.com.br;NATAL;RN
FRETEBR Cargas;cotacao@fretebr.net.br;NATAL;RN
FRETELOG;comercial@fretelogtransportes.com.br;NATAL;RN
FRETTE Intermodal;cotacao@fretteintermodal.com.br;NATAL;RN
FUTURA LOG;cotacao@futuralog.com.br;NATAL;RN
GAMPER;cotacaosp@transgamper.com.br;NATAL;RN
GRIDLOG;comercial.sp@gridlog.com.br;NATAL;RN
GUIEX;comercial@guiextransportes.com;NATAL;RN
GVTR Transportes;comercial@gvtrtransportes.com.br;NATAL;RN
HAPPENING;fabio@happening.com.br;NATAL;RN
HELTRAN;comercial@heltran.com.br;NATAL;RN
HERVI;claudia@hervi.com.br;NATAL;RN
IDEAL Cargas SP;comercial5@idealcargas.com;NATAL;RN
IDS -Logística;idslogisticagru@gmail.com;NATAL;RN
IMB Logística;cotacao@imblog.com.br;NATAL;RN
IMPAKTO;comercial.sp@impaktotransportes.com.br;NATAL;RN
IMPÉRIO Logística;comercial@imperiologistica.com.br;NATAL;RN
INTER EXPRESSA;comercial@interexpressa.com.br;NATAL;RN
ITAPIRENSE-BERTINI;mbuenom@terra.com.br;NATAL;RN
J&C;transportesjc366@gmail.com;NATAL;RN
JAK LOG;expressojaklogcotacoes@hotmail.com;NATAL;RN
JANAÚBA-GRUPO TRM;vendas4@trmlogistica.com;NATAL;RN
JAVE Transportes;comercial@javetransportes.com.br;NATAL;RN
JEM;cotacao@dfltransportes.com.br;NATAL;RN
JHC EXPRESS;comercial@jhcexpress.com;NATAL;RN
JJ2000 Transportes;saopaulo@jj2000.com.br;NATAL;RN
JM TRANSPORTES;jm.gerenciasp@jmtransporte.com.br;NATAL;RN
JOLEEMIX;expedicaosp2@jolee.com.br;NATAL;RN
JORTEK Express;comercial@jortek.com.br;NATAL;RN
JT Transportes;walquiria@jttransportes.com.br;NATAL;RN
JULIA Transportes;cotacao@juliatransportes.com.br;NATAL;RN
KADOSHI;comercial@kadoshitransportes.com.br;NATAL;RN
KAFENY;kafeny@kafenytransportes.com.br;NATAL;RN
KM Cargas;comercial@kmcargas.com.br;NATAL;RN
L&A Transportes;operacional@latranslog.com.br;NATAL;RN
LATORRE;cotacao@latorretransportes.com.br;NATAL;RN
LAURIMAR;comercial@laurimar.com.br;NATAL;RN
LDJ Logística;ldjsaopaulo@ldjlogistica.com.br;NATAL;RN
LEADERSHIP FREIGHT;sao@lfgex.com;NATAL;RN
LEOFRAN;comercial.sp@leofran.com.br;NATAL;RN
LFE Logística e Armazenagem;financeiro@lfelogistica.com.br;NATAL;RN
LGS Logística;comercial@lgslogistica.com.br;NATAL;RN
LILOG Express;cotacaoaereo@lilog.com.br;NATAL;RN
LILOG Rodoaéreo;cotacao01@lilog.com.br;NATAL;RN
LIMA Express;comercial1@lslimaexpress.com.br;NATAL;RN
LIVE LOG;comercial@livelogtrans.com.br;NATAL;RN
LOG EXPRESS;log-sp@logtransportes.com.br;NATAL;RN
LOG7 Transportes;edjaniossp@gmail.com;NATAL;RN
LOGAN Express;comercial@ldldistribuidora.com.br;NATAL;RN
LOGISTAR;comercial@logistarlog.com.br;NATAL;RN
LOGMED;contato@logmed.net;NATAL;RN
LOPESTUR Transportes;comercial.sp@lopestur.com.br;NATAL;RN
LUKS PRESS;comercial@lukspresstransportes.com.br;NATAL;RN
LUNA EXPRESS;contato@lunaexpress.com.br;NATAL;RN
LUXUS;sac@expressoluxus.com.br;NATAL;RN
LV Transportadora;comercial.sp@transportadoralv.com.br;NATAL;RN
MANDALA;cotacao@mandalatransportes.com.br;NATAL;RN
MARAJÁ;danilo@marajatransportes.com.br;NATAL;RN
MCP Transportes;comercial@mcptransportes.com.br;NATAL;RN
METATRON;cotacao.b@metatronexpress.com.br;NATAL;RN
MODULAR;comercialsp@modular.com.br;NATAL;RN
MONTANTTE;montantte@montanttetransportes.com.br;NATAL;RN
MONTCAR Expresso;saopaulo@expressomontcar.com.br;NATAL;RN
MONTONE;vendas2@transmontone.com.br;NATAL;RN
MOTIVA;comercial@motivatransportes.com.br;NATAL;RN
MVS -Transportes;mvstransportes@hotmail.com;NATAL;RN
NACIONAL Cargas;comercial@nacionalcargas.com;NATAL;RN
NEXTLOG;comercial@nextlogsp.com.br;NATAL;RN
NLT Transportes;nlt@nlttransportes.com;NATAL;RN
NOVA BRASÍLIA;comercial@tnb.com.br;NATAL;RN
NR Express;comercial@nrexpress.com.br;NATAL;RN
OSTEL;ostel@ostel.com.br;NATAL;RN
OVERLOG;comercial2@overlog.com.br;NATAL;RN
PANTANAL;va_pantanalsp@hotmail.com;NATAL;RN
PAPALÉGUAS;sac@papaleguasencomendas.com.br;NATAL;RN
PERFECT SP;comercial1@perfectsp.com.br;NATAL;RN
PERNAMBUCO;atendimento@pernambucotransportes.com.br;NATAL;RN
PETROCARGAS;cotacaosp@petrocargas.com.br;NATAL;RN
PETROLINA Expresso;comercial@expressopetrolina.com;NATAL;RN
PEXLOG;comercial.sp@pexlog.com.br;NATAL;RN
POTENCIAL Cargas;comercial@potencialcargas.com.br;NATAL;RN
PRESSÁGIO;cotacao@expressopressagio.com.br;NATAL;RN
PRIMORDIAL Cargas;comercial@primordialcargas.com.br;NATAL;RN
PROGRESSO;cotacao@progressotransportes.com.br;NATAL;RN
QUALY TRANS;marcos@qualytrans.net;NATAL;RN
R&J Transportes;cotacao@rjtransportes.com.br;NATAL;RN
R&M Transportes;comercial@rmlogisticasp.com.br;NATAL;RN
RBL Transportes;comercialsp@rbltransportes.com.br;NATAL;RN
RD Expresslog;comercial3@rdexpresslog.com.br;NATAL;RN
REDELOG;operacional.sp@redelog.com.br;NATAL;RN
REFERENCIAL;referencial@referencialtransportes.com.br;NATAL;RN
RFC Transportes;comercial@transportesrfc.com.br;NATAL;RN
RG OSASCO;vendasrggo@rgtransportes.com.br;NATAL;RN
RG Soluções Logísticas;comercialrgsolucoes@rgtransportes.com.br;NATAL;RN
RHADASSA LOG;comercial@rhadassalog.com.br;NATAL;RN
RISPA;contato@rispatransportes.com.br;NATAL;RN
RLV LOG Express;cotacao@rlvlog.com.br;NATAL;RN
ROCHA ;comercial2@rochatransporte.com.br;NATAL;RN
RODOCERTO;assistente.comercial@rodocerto.com.br;NATAL;RN
RODOJUNIOR;rodojunior@pocos-net.com.br;NATAL;RN
RODONORTE;rodonorte.spo@gmail.com;NATAL;RN
RODOVIA SUL;comercialsro@rodoviasul.com.br;NATAL;RN
RODOVITOR;cotacao.sp@rodovitortransportes.com.br;NATAL;RN
RODUART;atendimento@roduart.com.br;NATAL;RN
ROMERA;l.expressoromera@ig.com.br;NATAL;RN
RONALDO Transportes;ronaldotransportes027@gmail.com;NATAL;RN
RORAIMA Logística;cotacoes@roraimalog.com.br;NATAL;RN
ROTA BAHIA;rotabahialogistica01@gmail.com;NATAL;RN
RP Transportes;joaovitor@rptransporte.com.br;NATAL;RN
RR Cargo;alex.mendes@rrcargo.com.br;NATAL;RN
RÁPIDOBR;roberto@rapidobr.com.br;NATAL;RN
SANTA LUZIA;atendimento@expressosantaluzia.com.br;NATAL;RN
SARON;cotacao@rapidosaron.com.br;NATAL;RN
SCARPATO;scarpatope@uol.com.br;NATAL;RN
SEGMA;comercial@segmatransporte.com.br;NATAL;RN
SJLOG Transportes;comercial@sjlogtransportes.com.br;NATAL;RN
SM -Sua Majestade;cotacao@suamajestade.com.br;NATAL;RN
SNV Cargas;snvcargas@outlook.com;NATAL;RN
SOLIDEZ;telma@solideztrans.com.br;NATAL;RN
SONIC;sacsp@sonictransportes.com.br;NATAL;RN
SONS Transportes;dayse.comercial@sonstransportes.com;NATAL;RN
SPEED Multimodal;comercial.gru@speedmultimodal.com.br;NATAL;RN
SPEEDY BRASIL;contato@speedybrasil.com;NATAL;RN
SPMax;comercial@spmaxtransportes.com.br;NATAL;RN
STREET;comercial@streettransportes.com.br;NATAL;RN
SUED Logística;comercial@suedlogistica.com;NATAL;RN
SUPERAÇÃO Transporte;comercialmatriz@superacaotransporte.com.br;NATAL;RN
SUZARTE;contatosp@suzartetransportes.com.br;NATAL;RN
TADEX;tadex@tadex.com.br;NATAL;RN
TAMBAÚ;comercial@rapidotambau.com.br;NATAL;RN
TB CARGO;brunno@tbcargo.com.br;NATAL;RN
TCM Express;gerencia.sp@expresstcm.com.br;NATAL;RN
TEIMALOG;comercial@teimalog.com.br;NATAL;RN
TESLLA;transportes@tesllalogistica.com;NATAL;RN
TFE ;contato@tfetransportes.com.br;NATAL;RN
TRAGA-Garcia São Carlos;cotacao@traga.com.br;NATAL;RN
TRANS DNL;comercial@transdnl.com.br;NATAL;RN
TRANS IMPÉRIO Rodoaéreo;cotacao@transimperio.com;NATAL;RN
TRANSARIMATÉIA;transarimateiabauru@uol.com.br;NATAL;RN
TRANSCARGA São Carlos;ttsp@terra.com.br;NATAL;RN
TRANSCHICÃO;coleta@transchicao.com.br;NATAL;RN
TRANSCORTEZ;gerenciacomercial@transcortez.com;NATAL;RN
TRANSDEL LOG;fabricio.comercial@transdel.net;NATAL;RN
TRANSFACE;comercial.sp02@transface.com.br;NATAL;RN
TRANSHIZZA;emerson@transhizza.com.br;NATAL;RN
TRANSITA;transita@transita.com.br;NATAL;RN
TRANSLOGAALMEIDA;translogoaalmeidasp@gmail.com;NATAL;RN
TRANSMISAN;compras@transmisan.com.br;NATAL;RN
TRANSNORTEX;comercial.sp@transnortex.com.br;NATAL;RN
TRANSOUZA;transouzasp@hotmail.com;NATAL;RN
TRANSPALOTA;cotacao@transpalota.com.br;NATAL;RN
TRANSPAULA;comercial@transpaula.com.br;NATAL;RN
TRANSPAULISTANA SP;transpaulistana.sp@hotmail.com;NATAL;RN
TRANSPEN Cargas;logistica@transpen.com.br;NATAL;RN
TRANSR Sorocaba;contato@transrsorocaba.com.br;NATAL;RN
TRANSTAVARES;comercial@transtavares.com;NATAL;RN
TRANSVOAR;comercial1@transvoar.com.br;NATAL;RN
TRANSWELL'S;transwells@transwells.com.br;NATAL;RN
TRANSZECÃO;coleta@transzecao.com.br;NATAL;RN
TRAVEL EXPRESS;comercial@travelexpresslog.com.br;NATAL;RN
TRNLOG Rodoviário Nasa;thais@trnlog.com.br;NATAL;RN
TRUCKS Transportes;contato@ricardotruck.com.br;NATAL;RN
TUPILOG;cotacao@tupilog.com.br;NATAL;RN
UNI BRASIL;adm@unibrasiltransportes.com.br;NATAL;RN
VELFRANZ LOG;velfranzlog@gmail.com;NATAL;RN
VIA LOG;cotacao.spo@vialogtransporte.com.br;NATAL;RN
VIA MUNDO;contato.transvias@viamundotransportes.com.br;NATAL;RN
VIA SP Transporte;venancioweriton@gmail.com;NATAL;RN
VISÃO Transportes;visao-express@bol.com.br;NATAL;RN
VNT;vnt@vnttransportadora.com.br;NATAL;RN
VOO Transportes;comercialmtz02@vootransportes.com.br;NATAL;RN
VSJ Express;comercial@vsjexpress.com.br;NATAL;RN
WELL Rápido Well;cotacao@rapidowell.com.br;NATAL;RN
WINNER BRASIL;viviane.winner@winnerbrasillog.com.br;NATAL;RN
WRJ Logística;cotacaosp@wrjlogistica.com.br;NATAL;RN
X-LOG Transportes;vendas01@x-logtransportes.com.br;NATAL;RN
1ª AÇÃO Transportes;comercial@transportesacao.com.br;PORTO-VELHO;RO
3A Logística;comercial@3alt.com.br;PORTO-VELHO;RO
5 COMETAS;comercial2@5cometas.com.br;PORTO-VELHO;RO
A&M LOG Transportes;comercial@amlogtransportes.com.br;PORTO-VELHO;RO
ABEA Transportes;abeatransportes@abeatransportes.com.br;PORTO-VELHO;RO
ACORRETA;acorreta@acorreta.com.br;PORTO-VELHO;RO
ADESSO Transporte;cotacao@adessotransporte.com.br;PORTO-VELHO;RO
ADL Transportes;comercial@adllogistica.online;PORTO-VELHO;RO
AFINCO;comercial@afincotransportes.com.br;PORTO-VELHO;RO
AJ CARGO;comercial@ajcargo.com.br;PORTO-VELHO;RO
AKILOG;comercial.sp@aki.log.br;PORTO-VELHO;RO
ALEMAR-Log.;alemar_guarulhos@globo.com;PORTO-VELHO;RO
ALFA CARGAS ;comercial@alfacargas.com.br;PORTO-VELHO;RO
ALI Transportes;comercial@alitransportes.com.br;PORTO-VELHO;RO
ALIANÇA Cargas;comercial@1aliancacargas.com.br;PORTO-VELHO;RO
ALLIAN;comercial@alliantransportes.com.br;PORTO-VELHO;RO
ALLIEX;alianca@alliexlog.com.br;PORTO-VELHO;RO
ALPHATRANS;comercial@alphatranstransportadora.com.br;PORTO-VELHO;RO
ALUV Logística;cotacao@aluvlog.com.br;PORTO-VELHO;RO
AMAZON;ronaldo.silvino@transamazon.com.br;PORTO-VELHO;RO
ANDRADES L.L.;cotacao@andradestransportes.com.br;PORTO-VELHO;RO
